competition_id,method,rank,item,weight
gg24,least-squares,97,iden3/snarkjs,0.004984499977608722
gg24,least-squares,98,Layr-Labs/devkit-cli,0.004979309991309836
gg24,least-squares,99,jolly-roger-eth/ethereum-indexer,0.004978563304979699
gg24,least-squares,100,lambdaclass/lambdaworks,0.004964369108896307
gg24,least-squares,101,Jam516/BundleBear,0.004957084800406598
gg24,least-squares,102,l2beat/l2beat,0.004930193616280849
gg24,least-squares,103,lambdaclass/cairo_native,0.00489344419622085
gg24,least-squares,104,keep-starknet-strange/garaga,0.004892630148903673
gg24,least-squares,105,ithacaxyz/porto,0.004867312132495624
gg24,least-squares,106,keep-starknet-strange/poseidon-rs,0.004865727566961569
gg24,least-squares,107,ithacaxyz/relay,0.004864390153013627
gg24,least-squares,108,HorizenLabs/poseidon2,0.00485666889743579
gg24,least-squares,109,ingonyama-zk/poseidon-hash,0.004850061139947623
gg24,least-squares,110,joshstevens19/rrelayer,0.004849929553077613
gg24,least-squares,111,kamikazebr/owner-sync-safe,0.0048495774014461835
gg24,least-squares,112,iggy-social/iggy-social-frontend,0.004846127091330469
gg24,least-squares,113,herumi/bls,0.004841644127134495
gg24,least-squares,114,ithacaxyz/account,0.0048345189265083036
gg24,least-squares,115,indutny/elliptic,0.004823386147973389
gg24,least-squares,116,growthepie/gtp-frontend,0.0048144664574383805
gg24,least-squares,117,intellij-solidity/intellij-solidity,0.00481182045545873
gg24,least-squares,118,iden3/circomlib,0.004800172309817026
gg24,least-squares,119,iden3/go-iden3-crypto,0.004787628105795707
gg24,least-squares,120,HorizenOfficial/ginger-lib,0.004778506903755423
gg24,least-squares,121,gattaca-com/helix,0.004756864259194745
gg24,least-squares,122,holiman/goevmlab,0.004756791890189318
gg24,least-squares,123,growthepie/gtp-dna,0.004743602753312773
gg24,least-squares,124,han0110/plonkish,0.00474075795211589
gg24,least-squares,125,han0110/hash-sig-agg,0.004733293793838243
gg24,least-squares,126,evmts/tevm-monorepo,0.0047295166531198035
gg24,least-squares,127,han0110/bench-hash-in-snark,0.004719616859350798
gg24,least-squares,128,evmts/guillotine,0.004711346443117972
gg24,least-squares,129,flashbots/rbuilder,0.004705026090516141
gg24,least-squares,130,growthepie/gtp-backend,0.004695044166575622
gg24,least-squares,131,flashbots/mev-boost-relay,0.00468969503203992
gg24,least-squares,132,flashbots/relay-specs,0.004684693487193935
gg24,least-squares,133,herumi/mcl,0.004668811032551781
gg24,least-squares,134,flashbots/mev-boost,0.004660501611072686
gg24,least-squares,135,ethstaker/ethstaker-deposit-cli,0.004654095853262355
gg24,least-squares,136,ethereum/py_ecc,0.004629057897923308
gg24,least-squares,137,ethgas-developer/ethgas-preconf-commit-boost-module,0.0046287132861593
gg24,least-squares,138,EspressoSystems/hyperplonk,0.004618503217240367
gg24,least-squares,139,ethui/ethui,0.004612850545280727
gg24,least-squares,140,ethstaker/eth-docker,0.004609554252294271
gg24,least-squares,141,ephemery-testnet/ephemery-genesis,0.004609310674762776
gg24,least-squares,142,ethaccount/SAManager,0.00460792825631053
gg24,least-squares,143,ethereum/js-ethereum-cryptography,0.004596749099487509
gg24,least-squares,144,ethereum-attestation-service/eas-contracts,0.004591628197104323
gg24,least-squares,145,ethlimo/dweb-proxy-api,0.004576152045097896
gg24,least-squares,146,EOA-Blockchain-Labs/ethereumonarm,0.004564942773163988
gg24,least-squares,147,DexKit/dexkit-monorepo,0.004563085153296278
gg24,least-squares,148,EspressoSystems/jellyfish,0.004558624020900813
gg24,least-squares,149,enscribexyz/enscribe,0.004545090837204209
gg24,least-squares,150,edb-rs/edb,0.004535935441959198
gg24,least-squares,151,easpulse/easpulse.com,0.004524025288620124
gg24,least-squares,152,DefiLlama/DefiLlama-Adapters,0.004500323614865056
gg24,least-squares,153,deficollective/defiscan,0.004495702989001835
gg24,least-squares,154,dusk-network/Poseidon252,0.004487544895834259
gg24,least-squares,155,Elefria-Labs/evm-tools,0.004484017456584076
gg24,least-squares,156,BuidlGuidl/buidlguidl-client,0.004477736500101832
gg24,least-squares,157,dewdrip/eth-mobile,0.004475139365010309
gg24,least-squares,158,dappnode/DAppNode,0.004470981565972208
gg24,least-squares,159,DefiLlama/chainlist,0.004449356295346478
gg24,least-squares,160,Consensys/gnark-crypto,0.004448769900859427
gg24,least-squares,161,coincashew/EthPillar,0.004439518516045142
gg24,least-squares,162,dl-solarity/solidity-lib,0.004429802819183229
gg24,least-squares,163,corpus-core/colibri-stateless,0.004426932549191101
gg24,least-squares,164,CryptoExperts/poseidon,0.004425543155948733
gg24,least-squares,165,ChaosChain/trustless-agents-erc-ri,0.004419327852776958
gg24,least-squares,166,Commit-Boost/commit-boost-client,0.004410446415431907
gg24,least-squares,167,ChainSafe/bls,0.004392680203564456
gg24,least-squares,168,Cyfrin/aderyn,0.004388920723127332
gg24,least-squares,169,ConsenSysDiligence/sol-dbg,0.004362694142062984
gg24,least-squares,170,brevis-network/Pico-zkCoprocessor,0.004354940596576859
gg24,least-squares,171,Blobscan/blobscan,0.004341345860321177
gg24,least-squares,172,circuitscan/circuitscan,0.004336625474687927
gg24,least-squares,173,BootNodeDev/intents-framework,0.004328409911602803
gg24,least-squares,174,axiom-crypto/halo2-lib,0.004324513601701444
gg24,least-squares,175,Certora/CertoraProver,0.004322930467919342
gg24,least-squares,176,blockblaz/zeam,0.004314388443983216
gg24,least-squares,177,axiom-crypto/snark-verifier,0.004312584107704982
gg24,least-squares,178,boundless-xyz/steel,0.004302597912218744
gg24,least-squares,179,AgnopraxLab/D2PFuzz,0.004295444713270314
gg24,least-squares,180,axiom-crypto/axiom-api-cli,0.004293987378241286
gg24,least-squares,181,beaconlabs-io/muse,0.004287153695237651
gg24,least-squares,182,blockscout/blockscout,0.004282274925211105
gg24,least-squares,183,axiom-crypto/openvm-reth-benchmark,0.0042783549838647005
gg24,least-squares,184,b-wagn/hash-sig,0.004276859935779641
gg24,least-squares,185,arnaucube/poseidon-rs,0.004271964188892968
gg24,least-squares,186,arkworks-rs/r1cs-std,0.004248897993749752
gg24,least-squares,187,attestantio/dirk,0.004238754858598071
gg24,least-squares,188,attestantio/vouch,0.004210610964834032
